step,line,label,algo,x,y,state_annotation,next_action_annotation
1,1,label,default_algo,26.0,97.0,default_state,default_next_action
2,1,label,default_algo,109.0,327.0,default_state,default_next_action
3,1,label,default_algo,209.0,287.0,default_state,default_next_action
1,2,label,default_algo,109.0,196.0,default_state,default_next_action
2,2,label,default_algo,214.0,267.0,default_state,default_next_action
1,3,label,default_algo,229.0,279.0,default_state,default_next_action
2,3,label,default_algo,364.0,331.0,default_state,default_next_action
1,4,label,default_algo,240.0,136.0,default_state,default_next_action
2,4,label,default_algo,50.0,96.0,default_state,default_next_action
1,5,label,default_algo,38.0,82.0,default_state,default_next_action
1,6,label,default_algo,89.0,316.0,default_state,default_next_action
1,7,label,default_algo,88.0,349.0,default_state,default_next_action
1,8,label,default_algo,90.0,197.0,default_state,default_next_action
1,9,label,default_algo,99.0,219.0,default_state,default_next_action
1,10,label,default_algo,218.0,158.0,default_state,default_next_action
1,11,label,default_algo,240.0,162.0,default_state,default_next_action
1,12,label,default_algo,341.0,344.0,default_state,default_next_action
1,13,label,default_algo,363.0,349.0,default_state,default_next_action
