x,y,episode,step,progress,speed
3.6545,-1.7823,0,0,0.0,0.0
3.6785,-1.7902,0,1,0.005,0.03
3.7027,-1.7977,0,2,0.01,0.06
3.7274,-1.8046,0,3,0.015,0.09
3.7524,-1.8109,0,4,0.02,0.12
3.7777,-1.8167,0,5,0.025,0.15
3.8033,-1.8219,0,6,0.03,0.18
3.8293,-1.8265,0,7,0.035,0.209
3.8555,-1.8305,0,8,0.04,0.239
3.882,-1.8339,0,9,0.045,0.268
3.9088,-1.8368,0,10,0.05,0.297
3.9359,-1.839,0,11,0.055,0.326
3.9632,-1.8406,0,12,0.06,0.354
3.9908,-1.8416,0,13,0.065,0.382
4.0185,-1.8419,0,14,0.07,0.41
4.0465,-1.8416,0,15,0.075,0.437
4.0747,-1.8407,0,16,0.08,0.464
4.1031,-1.8391,0,17,0.085,0.49
4.1316,-1.8369,0,18,0.09,0.516
4.1603,-1.8339,0,19,0.095,0.542
4.1891,-1.8304,0,20,0.101,0.567
4.2181,-1.8261,0,21,0.106,0.592
4.2472,-1.8212,0,22,0.111,0.616
4.2764,-1.8156,0,23,0.116,0.639
4.3056,-1.8093,0,24,0.121,0.662
4.335,-1.8023,0,25,0.126,0.684
4.3644,-1.7946,0,26,0.131,0.706
4.3939,-1.7863,0,27,0.136,0.727
4.4233,-1.7772,0,28,0.141,0.747
4.4529,-1.7674,0,29,0.146,0.767
4.4824,-1.757,0,30,0.151,0.786
4.5119,-1.7458,0,31,0.156,0.804
4.5413,-1.7339,0,32,0.161,0.822
4.5708,-1.7213,0,33,0.166,0.839
4.6002,-1.708,0,34,0.171,0.855
4.6295,-1.6939,0,35,0.176,0.87
4.6587,-1.6792,0,36,0.181,0.885
4.6878,-1.6637,0,37,0.186,0.898
4.7168,-1.6476,0,38,0.191,0.911
4.7457,-1.6307,0,39,0.196,0.923
4.7744,-1.6131,0,40,0.201,0.934
4.803,-1.5948,0,41,0.206,0.945
4.8314,-1.5757,0,42,0.211,0.954
4.8596,-1.556,0,43,0.216,0.963
4.8876,-1.5355,0,44,0.221,0.97
4.9154,-1.5144,0,45,0.226,0.977
4.9429,-1.4925,0,46,0.231,0.983
4.9702,-1.47,0,47,0.236,0.988
4.9973,-1.4467,0,48,0.241,0.992
5.024,-1.4227,0,49,0.246,0.996
5.0505,-1.398,0,50,0.251,0.998
5.0766,-1.3727,0,51,0.256,0.999
5.1025,-1.3466,0,52,0.261,1.0
5.128,-1.3199,0,53,0.266,1.0
5.1531,-1.2925,0,54,0.271,0.998
5.1778,-1.2644,0,55,0.276,0.996
5.2022,-1.2357,0,56,0.281,0.993
5.2262,-1.2062,0,57,0.286,0.989
5.2498,-1.1762,0,58,0.291,0.984
5.2729,-1.1454,0,59,0.296,0.978
5.2956,-1.114,0,60,0.302,0.972
5.3178,-1.082,0,61,0.307,0.964
5.3396,-1.0494,0,62,0.312,0.956
5.3609,-1.0161,0,63,0.317,0.946
5.3817,-0.9822,0,64,0.322,0.936
5.402,-0.9477,0,65,0.327,0.925
5.4217,-0.9125,0,66,0.332,0.913
5.4409,-0.8768,0,67,0.337,0.901
5.4596,-0.8405,0,68,0.342,0.887
5.4777,-0.8036,0,69,0.347,0.873
5.4952,-0.7662,0,70,0.352,0.858
5.5121,-0.7282,0,71,0.357,0.842
5.5285,-0.6896,0,72,0.362,0.825
5.5442,-0.6505,0,73,0.367,0.808
5.5592,-0.6108,0,74,0.372,0.79
5.5736,-0.5707,0,75,0.377,0.771
5.5874,-0.53,0,76,0.382,0.751
5.6005,-0.4888,0,77,0.387,0.731
5.6129,-0.4471,0,78,0.392,0.71
5.6247,-0.405,0,79,0.397,0.689
5.6357,-0.3624,0,80,0.402,0.667
5.646,-0.3193,0,81,0.407,0.644
5.6556,-0.2758,0,82,0.412,0.62
5.6645,-0.2318,0,83,0.417,0.596
5.6726,-0.1875,0,84,0.422,0.572
5.6799,-0.1427,0,85,0.427,0.547
5.6865,-0.0975,0,86,0.432,0.522
5.6923,-0.052,0,87,0.437,0.496
5.6973,-0.006,0,88,0.442,0.469
5.7015,0.0402,0,89,0.447,0.442
5.7049,0.0869,0,90,0.452,0.415
5.7075,0.1338,0,91,0.457,0.387
5.7092,0.181,0,92,0.462,0.359
5.7101,0.2286,0,93,0.467,0.331
5.7102,0.2764,0,94,0.472,0.303
5.7095,0.3245,0,95,0.477,0.274
5.7078,0.3729,0,96,0.482,0.245
5.7053,0.4215,0,97,0.487,0.215
5.7019,0.4703,0,98,0.492,0.186
5.6977,0.5193,0,99,0.497,0.156
5.6925,0.5686,0,100,0.503,0.126
5.6865,0.618,0,101,0.508,0.096
5.6795,0.6675,0,102,0.513,0.066
5.6717,0.7172,0,103,0.518,0.036
5.6629,0.7671,0,104,0.523,0.006
5.6532,0.817,0,105,0.528,0.024
5.6426,0.8671,0,106,0.533,0.054
5.631,0.9172,0,107,0.538,0.084
5.6185,0.9674,0,108,0.543,0.114
5.6051,1.0176,0,109,0.548,0.144
5.5907,1.0679,0,110,0.553,0.174
5.5754,1.1181,0,111,0.558,0.204
5.5591,1.1684,0,112,0.563,0.233
5.5419,1.2186,0,113,0.568,0.262
5.5237,1.2688,0,114,0.573,0.291
5.5046,1.319,0,115,0.578,0.32
5.4845,1.3691,0,116,0.583,0.348
5.4634,1.419,0,117,0.588,0.377
5.4413,1.4689,0,118,0.593,0.404
5.4183,1.5186,0,119,0.598,0.432
5.3943,1.5682,0,120,0.603,0.459
5.3694,1.6176,0,121,0.608,0.485
5.3435,1.6669,0,122,0.613,0.511
5.3166,1.7159,0,123,0.618,0.537
5.2887,1.7647,0,124,0.623,0.562
5.2599,1.8133,0,125,0.628,0.587
5.2301,1.8617,0,126,0.633,0.611
5.1993,1.9097,0,127,0.638,0.635
5.1676,1.9575,0,128,0.643,0.658
5.1349,2.0049,0,129,0.648,0.68
5.1012,2.0521,0,130,0.653,0.702
5.0666,2.0988,0,131,0.658,0.723
5.031,2.1453,0,132,0.663,0.744
4.9944,2.1913,0,133,0.668,0.763
4.957,2.2369,0,134,0.673,0.782
4.9185,2.2821,0,135,0.678,0.801
4.8791,2.3269,0,136,0.683,0.819
4.8388,2.3712,0,137,0.688,0.836
4.7976,2.4151,0,138,0.693,0.852
4.7554,2.4584,0,139,0.698,0.867
4.7123,2.5013,0,140,0.704,0.882
4.6683,2.5436,0,141,0.709,0.896
4.6234,2.5853,0,142,0.714,0.909
4.5776,2.6265,0,143,0.719,0.921
4.5308,2.6672,0,144,0.724,0.932
4.4832,2.7072,0,145,0.729,0.943
4.4347,2.7466,0,146,0.734,0.952
4.3854,2.7854,0,147,0.739,0.961
4.3351,2.8235,0,148,0.744,0.969
4.284,2.8609,0,149,0.749,0.976
4.2321,2.8977,0,150,0.754,0.982
4.1793,2.9337,0,151,0.759,0.987
4.1257,2.9691,0,152,0.764,0.992
4.0713,3.0037,0,153,0.769,0.995
4.016,3.0375,0,154,0.774,0.998
3.96,3.0706,0,155,0.779,0.999
3.9032,3.1029,0,156,0.784,1.0
3.8455,3.1344,0,157,0.789,1.0
3.7872,3.165,0,158,0.794,0.999
3.728,3.1949,0,159,0.799,0.997
3.6682,3.2239,0,160,0.804,0.994
3.6076,3.252,0,161,0.809,0.99
3.5462,3.2792,0,162,0.814,0.985
3.4842,3.3055,0,163,0.819,0.98
3.4215,3.331,0,164,0.824,0.973
3.3581,3.3554,0,165,0.829,0.966
3.294,3.379,0,166,0.834,0.957
3.2293,3.4016,0,167,0.839,0.948
3.164,3.4232,0,168,0.844,0.938
3.098,3.4438,0,169,0.849,0.928
3.0314,3.4635,0,170,0.854,0.916
2.9643,3.4821,0,171,0.859,0.903
2.8965,3.4997,0,172,0.864,0.89
2.8282,3.5163,0,173,0.869,0.876
2.7594,3.5318,0,174,0.874,0.861
2.69,3.5462,0,175,0.879,0.845
2.6201,3.5596,0,176,0.884,0.829
2.5497,3.5719,0,177,0.889,0.811
2.4789,3.583,0,178,0.894,0.793
2.4076,3.5931,0,179,0.899,0.775
2.3358,3.602,0,180,0.905,0.755
2.2636,3.6098,0,181,0.91,0.735
2.191,3.6165,0,182,0.915,0.714
2.118,3.622,0,183,0.92,0.693
2.0447,3.6263,0,184,0.925,0.671
1.971,3.6295,0,185,0.93,0.648
1.8969,3.6315,0,186,0.935,0.625
1.8226,3.6323,0,187,0.94,0.601
1.7479,3.6318,0,188,0.945,0.577
1.673,3.6302,0,189,0.95,0.552
1.5978,3.6273,0,190,0.955,0.527
1.5224,3.6233,0,191,0.96,0.501
1.4468,3.6179,0,192,0.965,0.474
1.371,3.6114,0,193,0.97,0.448
1.295,3.6035,0,194,0.975,0.42
1.2188,3.5945,0,195,0.98,0.393
1.1425,3.5841,0,196,0.985,0.365
1.0661,3.5725,0,197,0.99,0.337
0.9896,3.5596,0,198,0.995,0.308
0.9131,3.5454,0,199,1.0,0.279
4.8335,3.9128,1,0,0.0,0.0
4.8353,3.9379,1,1,0.005,0.036
4.8365,3.9633,1,2,0.01,0.072
4.837,3.9889,1,3,0.015,0.108
4.8369,4.0146,1,4,0.02,0.144
4.8363,4.0406,1,5,0.025,0.18
4.8349,4.0667,1,6,0.03,0.216
4.833,4.093,1,7,0.035,0.251
4.8303,4.1194,1,8,0.04,0.287
4.8271,4.146,1,9,0.045,0.322
4.8232,4.1726,1,10,0.05,0.356
4.8186,4.1994,1,11,0.055,0.391
4.8134,4.2263,1,12,0.06,0.425
4.8075,4.2532,1,13,0.065,0.458
4.8009,4.2802,1,14,0.07,0.492
4.7937,4.3072,1,15,0.075,0.524
4.7858,4.3343,1,16,0.08,0.557
4.7772,4.3614,1,17,0.085,0.588
4.7679,4.3884,1,18,0.09,0.62
4.758,4.4155,1,19,0.095,0.65
4.7474,4.4426,1,20,0.101,0.681
4.736,4.4696,1,21,0.106,0.71
4.724,4.4965,1,22,0.111,0.739
4.7114,4.5234,1,23,0.116,0.767
4.698,4.5502,1,24,0.121,0.795
4.684,4.5769,1,25,0.126,0.821
4.6692,4.6035,1,26,0.131,0.847
4.6538,4.6299,1,27,0.136,0.873
4.6377,4.6562,1,28,0.141,0.897
4.6209,4.6824,1,29,0.146,0.921
4.6034,4.7084,1,30,0.151,0.943
4.5853,4.7342,1,31,0.156,0.965
4.5664,4.7598,1,32,0.161,0.986
4.5469,4.7852,1,33,0.166,1.006
4.5267,4.8103,1,34,0.171,1.026
4.5058,4.8352,1,35,0.176,1.044
4.4843,4.8599,1,36,0.181,1.061
4.4621,4.8842,1,37,0.186,1.078
4.4392,4.9083,1,38,0.191,1.093
4.4157,4.9321,1,39,0.196,1.108
4.3915,4.9556,1,40,0.201,1.121
4.3667,4.9787,1,41,0.206,1.133
4.3412,5.0015,1,42,0.211,1.145
4.3151,5.0239,1,43,0.216,1.155
4.2883,5.046,1,44,0.221,1.164
4.2609,5.0676,1,45,0.226,1.173
4.2329,5.0889,1,46,0.231,1.18
4.2042,5.1097,1,47,0.236,1.186
4.175,5.1301,1,48,0.241,1.191
4.1451,5.1501,1,49,0.246,1.195
4.1147,5.1696,1,50,0.251,1.198
4.0836,5.1886,1,51,0.256,1.199
4.052,5.2072,1,52,0.261,1.2
4.0197,5.2252,1,53,0.266,1.2
3.9869,5.2427,1,54,0.271,1.198
3.9536,5.2598,1,55,0.276,1.195
3.9197,5.2762,1,56,0.281,1.192
3.8852,5.2921,1,57,0.286,1.187
3.8502,5.3075,1,58,0.291,1.181
3.8147,5.3223,1,59,0.296,1.174
3.7787,5.3365,1,60,0.302,1.166
3.7421,5.3501,1,61,0.307,1.157
3.7051,5.3631,1,62,0.312,1.147
3.6676,5.3754,1,63,0.317,1.136
3.6296,5.3871,1,64,0.322,1.124
3.5911,5.3982,1,65,0.327,1.11
3.5522,5.4086,1,66,0.332,1.096
3.5128,5.4184,1,67,0.337,1.081
3.473,5.4274,1,68,0.342,1.065
3.4328,5.4358,1,69,0.347,1.048
3.3921,5.4435,1,70,0.352,1.029
3.3511,5.4504,1,71,0.357,1.01
3.3097,5.4566,1,72,0.362,0.99
3.2679,5.4621,1,73,0.367,0.969
3.2258,5.4669,1,74,0.372,0.948
3.1833,5.4709,1,75,0.377,0.925
3.1405,5.4741,1,76,0.382,0.902
3.0973,5.4766,1,77,0.387,0.877
3.0539,5.4783,1,78,0.392,0.852
3.0101,5.4792,1,79,0.397,0.826
2.9661,5.4793,1,80,0.402,0.8
2.9218,5.4785,1,81,0.407,0.772
2.8773,5.477,1,82,0.412,0.744
2.8325,5.4747,1,83,0.417,0.716
2.7875,5.4715,1,84,0.422,0.686
2.7423,5.4675,1,85,0.427,0.656
2.6969,5.4627,1,86,0.432,0.626
2.6514,5.457,1,87,0.437,0.595
2.6056,5.4504,1,88,0.442,0.563
2.5598,5.443,1,89,0.447,0.531
2.5138,5.4347,1,90,0.452,0.498
2.4677,5.4256,1,91,0.457,0.465
2.4214,5.4155,1,92,0.462,0.431
2.3752,5.4046,1,93,0.467,0.397
2.3288,5.3928,1,94,0.472,0.363
2.2824,5.3801,1,95,0.477,0.328
2.236,5.3665,1,96,0.482,0.294
2.1895,5.352,1,97,0.487,0.258
2.143,5.3366,1,98,0.492,0.223
2.0966,5.3203,1,99,0.497,0.187
2.0502,5.3031,1,100,0.503,0.151
2.0039,5.285,1,101,0.508,0.115
1.9576,5.2659,1,102,0.513,0.079
1.9114,5.246,1,103,0.518,0.043
1.8653,5.2251,1,104,0.523,0.007
1.8193,5.2033,1,105,0.528,0.029
1.7735,5.1806,1,106,0.533,0.065
1.7278,5.157,1,107,0.538,0.101
1.6823,5.1324,1,108,0.543,0.137
1.637,5.1069,1,109,0.548,0.173
1.5918,5.0805,1,110,0.553,0.209
1.5469,5.0532,1,111,0.558,0.244
1.5023,5.0249,1,112,0.563,0.28
1.4579,4.9958,1,113,0.568,0.315
1.4138,4.9657,1,114,0.573,0.35
1.37,4.9347,1,115,0.578,0.384
1.3265,4.9028,1,116,0.583,0.418
1.2833,4.8699,1,117,0.588,0.452
1.2405,4.8362,1,118,0.593,0.485
1.198,4.8016,1,119,0.598,0.518
1.1559,4.766,1,120,0.603,0.55
1.1142,4.7296,1,121,0.608,0.582
1.073,4.6922,1,122,0.613,0.614
1.0322,4.654,1,123,0.618,0.644
0.9918,4.6149,1,124,0.623,0.675
0.9519,4.5749,1,125,0.628,0.704
0.9125,4.534,1,126,0.633,0.733
0.8736,4.4923,1,127,0.638,0.762
0.8352,4.4497,1,128,0.643,0.789
0.7973,4.4062,1,129,0.648,0.816
0.76,4.3619,1,130,0.653,0.842
0.7233,4.3167,1,131,0.658,0.868
0.6872,4.2707,1,132,0.663,0.892
0.6517,4.2239,1,133,0.668,0.916
0.6168,4.1763,1,134,0.673,0.939
0.5825,4.1278,1,135,0.678,0.961
0.5489,4.0785,1,136,0.683,0.982
0.516,4.0285,1,137,0.688,1.003
0.4838,3.9776,1,138,0.693,1.022
0.4523,3.926,1,139,0.698,1.041
0.4215,3.8736,1,140,0.704,1.058
0.3914,3.8205,1,141,0.709,1.075
0.3621,3.7666,1,142,0.714,1.09
0.3336,3.712,1,143,0.719,1.105
0.3059,3.6566,1,144,0.724,1.118
0.2789,3.6006,1,145,0.729,1.131
0.2528,3.5438,1,146,0.734,1.143
0.2275,3.4864,1,147,0.739,1.153
0.203,3.4282,1,148,0.744,1.163
0.1795,3.3695,1,149,0.749,1.171
0.1567,3.31,1,150,0.754,1.178
0.1349,3.2499,1,151,0.759,1.185
0.114,3.1892,1,152,0.764,1.19
0.094,3.1279,1,153,0.769,1.194
0.0749,3.066,1,154,0.774,1.197
0.0568,3.0035,1,155,0.779,1.199
0.0396,2.9404,1,156,0.784,1.2
0.0235,2.8768,1,157,0.789,1.2
0.0082,2.8126,1,158,0.794,1.198
-0.006,2.748,1,159,0.799,1.196
-0.0192,2.6828,1,160,0.804,1.193
-0.0314,2.6171,1,161,0.809,1.188
-0.0425,2.5509,1,162,0.814,1.182
